alpha,max_iter,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
0.0001,1000,1.716677188873291,0.0005486011505126953,1,0.1404370244679729,3419872.143301145,10,48193,14458,33735
0.0001,2000,4.15949821472168,0.0004775524139404297,1,0.1404370244679729,3419872.143301145,10,48193,14458,33735
0.0001,3000,4.089464426040649,0.00043010711669921875,1,0.1404370244679729,3419872.143301145,10,48193,14458,33735
0.0001,5000,6.28161358833313,0.00043654441833496094,1,0.1404370244679729,3419872.143301145,10,48193,14458,33735
1e-05,1000,1.3732573986053467,0.0005321502685546875,1,0.14043702448180473,3419872.1432461133,10,48193,14458,33735
1e-05,2000,2.6230714321136475,0.0004794597625732422,1,0.14043702446797302,3419872.1433011442,10,48193,14458,33735
1e-05,3000,4.009042978286743,0.0023374557495117188,1,0.14043702446797302,3419872.1433011442,10,48193,14458,33735
1e-05,5000,6.847576856613159,0.00043964385986328125,1,0.14043702446797302,3419872.1433011442,10,48193,14458,33735
0.0001,1000,1.4640939235687256,0.0003924369812011719,2,0.13703056569984096,3420826.3827458797,10,48193,14458,33735
0.0001,2000,3.1339633464813232,0.0004596710205078125,2,0.13703056569984096,3420826.3827458797,10,48193,14458,33735
0.0001,3000,4.061830520629883,0.00393986701965332,2,0.13703056569984096,3420826.3827458797,10,48193,14458,33735
0.0001,5000,6.652841091156006,0.0004889965057373047,2,0.13703056569984096,3420826.3827458797,10,48193,14458,33735
1e-05,1000,1.332923412322998,0.0004937648773193359,2,0.13703056569415806,3420826.382768407,10,48193,14458,33735
1e-05,2000,2.838243007659912,0.0007042884826660156,2,0.13703056569984096,3420826.3827458797,10,48193,14458,33735
1e-05,3000,4.030271768569946,0.0004951953887939453,2,0.13703056569984096,3420826.3827458797,10,48193,14458,33735
1e-05,5000,7.012402772903442,0.0006628036499023438,2,0.13703056569984096,3420826.3827458797,10,48193,14458,33735
0.0001,1000,1.3910679817199707,0.00048089027404785156,3,0.1348275011986937,3440877.0241324324,10,48193,14458,33735
0.0001,2000,2.672314405441284,0.004827022552490234,3,0.1348275011986937,3440877.0241324324,10,48193,14458,33735
0.0001,3000,3.865516424179077,0.0004775524139404297,3,0.1348275011986937,3440877.0241324324,10,48193,14458,33735
0.0001,5000,6.809680223464966,0.0004801750183105469,3,0.1348275011986937,3440877.0241324324,10,48193,14458,33735
1e-05,1000,1.3597538471221924,0.000423431396484375,3,0.13482750119077203,3440877.0241639377,10,48193,14458,33735
1e-05,2000,2.931191921234131,0.0006296634674072266,3,0.13482750119869358,3440877.024132433,10,48193,14458,33735
1e-05,3000,3.96696400642395,0.00047326087951660156,3,0.13482750119869358,3440877.024132433,10,48193,14458,33735
1e-05,5000,6.76884388923645,0.0004353523254394531,3,0.13482750119869358,3440877.024132433,10,48193,14458,33735
0.0001,1000,1.603104591369629,0.0005040168762207031,4,0.137792830273754,3414824.757084631,10,48193,14458,33735
0.0001,2000,2.7250478267669678,0.0016524791717529297,4,0.137792830273754,3414824.757084631,10,48193,14458,33735
0.0001,3000,4.1585235595703125,0.003574371337890625,4,0.137792830273754,3414824.757084631,10,48193,14458,33735
0.0001,5000,6.885680913925171,0.00045299530029296875,4,0.137792830273754,3414824.757084631,10,48193,14458,33735
1e-05,1000,1.368887186050415,0.00046372413635253906,4,0.1377928302795619,3414824.757061628,10,48193,14458,33735
1e-05,2000,2.631030559539795,0.0004923343658447266,4,0.137792830273754,3414824.757084631,10,48193,14458,33735
1e-05,3000,3.9743785858154297,0.000461578369140625,4,0.137792830273754,3414824.757084631,10,48193,14458,33735
1e-05,5000,6.7065606117248535,0.0004525184631347656,4,0.137792830273754,3414824.757084631,10,48193,14458,33735
0.0001,1000,1.4976098537445068,0.00048422813415527344,5,0.14489886975446875,3397121.526085765,10,48193,14458,33735
0.0001,2000,2.5376288890838623,0.0004532337188720703,5,0.14489886975446875,3397121.526085765,10,48193,14458,33735
0.0001,3000,3.907060384750366,0.00047898292541503906,5,0.14489886975446875,3397121.526085765,10,48193,14458,33735
0.0001,5000,5.572906255722046,0.00044155120849609375,5,0.14489886975446875,3397121.526085765,10,48193,14458,33735
1e-05,1000,0.9277021884918213,0.0004420280456542969,5,0.14489886975446054,3397121.526085798,10,48193,14458,33735
1e-05,2000,1.7631611824035645,0.0004451274871826172,5,0.14489886975446875,3397121.526085765,10,48193,14458,33735
1e-05,3000,2.6272361278533936,0.00043845176696777344,5,0.14489886975446875,3397121.526085765,10,48193,14458,33735
1e-05,5000,4.597214460372925,0.0004439353942871094,5,0.14489886975446875,3397121.526085765,10,48193,14458,33735
0.0001,1000,1.0615041255950928,0.000457763671875,6,0.14662175874037842,3366109.356025413,10,48193,14458,33735
0.0001,2000,1.9098811149597168,0.00045561790466308594,6,0.14662175874037842,3366109.356025413,10,48193,14458,33735
0.0001,3000,3.4565985202789307,0.00049591064453125,6,0.14662175874037842,3366109.356025413,10,48193,14458,33735
0.0001,5000,4.482269763946533,0.0004899501800537109,6,0.14662175874037842,3366109.356025413,10,48193,14458,33735
1e-05,1000,0.9060437679290771,0.0004961490631103516,6,0.14662175873105354,3366109.3560621943,10,48193,14458,33735
1e-05,2000,1.8019356727600098,0.0004904270172119141,6,0.14662175874037842,3366109.356025413,10,48193,14458,33735
1e-05,3000,2.853257656097412,0.0004527568817138672,6,0.14662175874037842,3366109.356025413,10,48193,14458,33735
1e-05,5000,4.534090995788574,0.0004563331604003906,6,0.14662175874037842,3366109.356025413,10,48193,14458,33735
0.0001,1000,1.0340137481689453,0.0004374980926513672,7,0.1330979005191003,3396940.3694745833,10,48193,14458,33735
0.0001,2000,1.873668909072876,0.00042939186096191406,7,0.1330979005191003,3396940.3694745833,10,48193,14458,33735
0.0001,3000,2.7749435901641846,0.0004360675811767578,7,0.1330979005191003,3396940.3694745833,10,48193,14458,33735
0.0001,5000,4.591109037399292,0.00043082237243652344,7,0.1330979005191003,3396940.3694745833,10,48193,14458,33735
1e-05,1000,0.9498772621154785,0.0004601478576660156,7,0.1330979005156765,3396940.3694879995,10,48193,14458,33735
1e-05,2000,1.9663405418395996,0.0007636547088623047,7,0.1330979005191003,3396940.3694745833,10,48193,14458,33735
1e-05,3000,2.9402880668640137,0.0004756450653076172,7,0.1330979005191003,3396940.3694745833,10,48193,14458,33735
1e-05,5000,4.807444095611572,0.0004820823669433594,7,0.1330979005191003,3396940.3694745833,10,48193,14458,33735
0.0001,1000,1.0813124179840088,0.000499725341796875,8,0.13647050185478182,3418055.7737510502,10,48193,14458,33735
0.0001,2000,1.91054368019104,0.0005085468292236328,8,0.13647050185478182,3418055.7737510502,10,48193,14458,33735
0.0001,3000,2.8000855445861816,0.0004985332489013672,8,0.13647050185478182,3418055.7737510502,10,48193,14458,33735
0.0001,5000,4.545497894287109,0.0007867813110351562,8,0.13647050185478182,3418055.7737510502,10,48193,14458,33735
1e-05,1000,0.9231362342834473,0.0004904270172119141,8,0.13647050185148468,3418055.7737641013,10,48193,14458,33735
1e-05,2000,1.8518378734588623,0.0004999637603759766,8,0.13647050185478182,3418055.7737510502,10,48193,14458,33735
1e-05,3000,2.796229362487793,0.0005326271057128906,8,0.13647050185478182,3418055.7737510502,10,48193,14458,33735
1e-05,5000,4.942758560180664,0.0011212825775146484,8,0.13647050185478182,3418055.7737510502,10,48193,14458,33735
0.0001,1000,1.0035755634307861,0.001726388931274414,9,0.14185809049171794,3414258.87694272,10,48193,14458,33735
0.0001,2000,1.7784011363983154,0.0004448890686035156,9,0.14185809049171794,3414258.87694272,10,48193,14458,33735
0.0001,3000,2.8264503479003906,0.0004391670227050781,9,0.14185809049171794,3414258.87694272,10,48193,14458,33735
0.0001,5000,4.932636737823486,0.0004382133483886719,9,0.14185809049171794,3414258.87694272,10,48193,14458,33735
1e-05,1000,0.9395160675048828,0.0004458427429199219,9,0.14185809049223597,3414258.876940659,10,48193,14458,33735
1e-05,2000,2.0400750637054443,0.001050710678100586,9,0.14185809049171794,3414258.87694272,10,48193,14458,33735
1e-05,3000,3.0054948329925537,0.0004355907440185547,9,0.14185809049171794,3414258.87694272,10,48193,14458,33735
1e-05,5000,6.019871234893799,0.0004949569702148438,9,0.14185809049171794,3414258.87694272,10,48193,14458,33735
0.0001,1000,1.1000454425811768,0.0004978179931640625,10,0.14907674764050427,3351496.2102073906,10,48193,14458,33735
0.0001,2000,1.9634881019592285,0.0005066394805908203,10,0.14907674764050427,3351496.2102073906,10,48193,14458,33735
0.0001,3000,2.940396785736084,0.0007801055908203125,10,0.14907674764050427,3351496.2102073906,10,48193,14458,33735
0.0001,5000,5.19207763671875,0.0006291866302490234,10,0.14907674764050427,3351496.2102073906,10,48193,14458,33735
1e-05,1000,0.9784021377563477,0.003401041030883789,10,0.14907674764306833,3351496.2101972913,10,48193,14458,33735
1e-05,2000,1.9022266864776611,0.0004444122314453125,10,0.14907674764050427,3351496.2102073906,10,48193,14458,33735
1e-05,3000,3.032510280609131,0.0005204677581787109,10,0.14907674764050427,3351496.2102073906,10,48193,14458,33735
1e-05,5000,5.014309406280518,0.0005166530609130859,10,0.14907674764050427,3351496.2102073906,10,48193,14458,33735
